max_load,lookup,groups,fraction
31/32,miss,1,0.192479
31/32,miss,2,0.099839
31/32,miss,3,0.092518
31/32,miss,4,0.076458
31/32,miss,5,0.067051
31/32,miss,6,0.058205
31/32,miss,7,0.049164
31/32,miss,8,0.044129
31/32,miss,9,0.038017
31/32,miss,10,0.033840
31/32,miss,11,0.030625
31/32,miss,12,0.025311
31/32,miss,13,0.022961
31/32,miss,14,0.021675
31/32,miss,15,0.018967
31/32,miss,16,0.016354
31/32,miss,17,0.014088
31/32,miss,18,0.012928
31/32,miss,19,0.011360
31/32,miss,20,0.010052
31/32,miss,21,0.009399
31/32,miss,22,0.007614
31/32,miss,23,0.005619
31/32,miss,24,0.004749
31/32,miss,25,0.004860
31/32,miss,26,0.004604
31/32,miss,27,0.004208
31/32,miss,28,0.003746
31/32,miss,29,0.003014
31/32,miss,30,0.003086
31/32,miss,31,0.002556
31/32,miss,32,0.010525
